# Справочник распределения причин смерти по группам отчёта «Смертность» (МКБ-10 → группа).
#
# Как работает: правила читаются СВЕРХУ ВНИЗ, для кода берётся ПЕРВОЕ подходящее —
# поэтому специфичные правила ставьте выше общих. Диапазон задаётся по букве и ЦЕЛОЙ
# части кода: I20–I25 покрывает I20.0…I25.9; I48–I48 — только I48.x.
#
# Формат строки (разделитель «;»):  код_от;код_до;группа;подгруппа
#   • группа    — заголовок столбца в отчёте (порядок столбцов = порядок первого
#                 появления группы в этом файле);
#   • подгруппа — необязательна; если задана, попадает в приписку «(в т.ч. …)»
#                 у своей группы (например ИБС, фибрилляция внутри болезней кровообращения).
# Коды вне всех правил попадают в столбец «Прочие», а список таких кодов выводится
# в отчёте — чтобы можно было дополнить справочник.
#
# Правьте этот файл при необходимости; для .exe можно указать свой файл того же
# формата через параметр «Справочник групп» (вкладка) или ключ --groups (командная строка).
код_от;код_до;группа;подгруппа
G00;G99;Болезни нервной системы;
I60;I69;Болезни нервной системы;
I20;I25;Болезни кровообращения;ИБС
I48;I48;Болезни кровообращения;фибрилляция
I00;I99;Болезни кровообращения;
J00;J99;Болезни органов дыхания;
K00;K93;Болезни органов пищеварения;
E00;E90;Болезни эндокринной системы;
N00;N99;Болезни мочеполовой системы;
D50;D89;Болезни крови и кроветворных органов;
